Doc_Index,Title,Dominant_Topic,Dominant_Prob,Topic_0_Prob,Topic_1_Prob,Topic_2_Prob,Topic_3_Prob,Topic_4_Prob,Topic_5_Prob,Topic_6_Prob,Topic_7_Prob,Topic_8_Prob,Topic_9_Prob
308,Innovation in cultural and creative industries firms with an academic origin (CCI-USOs): The role of,3,0.9886,0.0013,0.0013,0.0013,0.9886,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
309,To have and have not: founders' human capital and university start-up survival,3,0.8144,0.0466,0.0012,0.0012,0.8144,0.0012,0.1308,0.0012,0.0012,0.0012,0.0012
310,The effect of competitive and non-competitive R&D collaboration on firm innovation,3,0.5023,0.0012,0.0012,0.0012,0.5023,0.0012,0.4882,0.0012,0.0012,0.0012,0.0012
311,Knowledge Acquisition/Transformation to Meet the Quality Needs of the Metallic Constructions Market,0,0.5667,0.5667,0.0014,0.0014,0.0014,0.0014,0.4225,0.0014,0.0014,0.0014,0.0014
312,Barriers and drivers for technology commercialization by SMEs in the Dutch sustainable energy sector,5,0.8864,0.1062,0.0009,0.0009,0.0009,0.0009,0.8864,0.0009,0.0009,0.0009,0.0009
313,Outside board members in high tech start-ups,3,0.806,0.0596,0.001,0.001,0.806,0.001,0.1274,0.001,0.001,0.001,0.001
314,Opening the black box of academic entrepreneurship: a bibliometric analysis,0,0.9917,0.9917,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
315,Environmental hostility and firm behavior -: An empirical examination of new technology-based firms ,5,0.4698,0.3525,0.001,0.001,0.1709,0.001,0.4698,0.001,0.001,0.001,0.001
316,"Discovery, Development and Technology Transfer of Biocontrol Agents for Postharvest Disease Control",0,0.6457,0.6457,0.0011,0.0011,0.0011,0.0011,0.3338,0.0011,0.0011,0.0127,0.0011
317,Public support and VC financing in academic startups,5,0.7577,0.0594,0.0008,0.0008,0.1774,0.0008,0.7577,0.0008,0.0008,0.0008,0.0008
318,ON THE USE OF BIBLIOMETRIC INDICATORS FOR THE ANALYSIS OF EMERGING TOPICS AND THEIR EVOLUTION: SPIN-,0,0.8382,0.8382,0.0011,0.0011,0.0011,0.0011,0.1533,0.0011,0.0011,0.0011,0.0011
319,"Should I Stay, or Should I Go? Job satisfaction as a moderating factor between outcome expectations ",0,0.9928,0.9928,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
320,Co-Evolution of the University Technology Transfer: Towards a Sustainability-Oriented Industry: Evid,5,0.5249,0.4668,0.001,0.001,0.001,0.001,0.5249,0.001,0.001,0.001,0.001
321,Introducing process-oriented IT Service Management at an Academic Computing Center: An Interim Repor,0,0.657,0.657,0.0009,0.0009,0.0009,0.0009,0.3357,0.0009,0.0009,0.0009,0.0009
322,Noneconomic public value creation by private ventures: scale development and empirical validation in,0,0.7632,0.7632,0.0011,0.0011,0.0011,0.0011,0.228,0.0011,0.0011,0.0011,0.0011
323,Knowledge-driven fuzzy consensus model for team formation,0,0.5971,0.5971,0.001,0.001,0.001,0.001,0.3172,0.0684,0.0112,0.001,0.001
324,Knowledge and innovation in start-up ventures: A systematic literature review and research agenda,0,0.6672,0.6672,0.0012,0.0012,0.0012,0.0012,0.3232,0.0012,0.0012,0.0012,0.0012
325,Academic versus corporate new technology-based firms in Swedish science parks: an analysis of perfor,5,0.7983,0.044,0.0009,0.0009,0.1517,0.0009,0.7983,0.0009,0.0009,0.0009,0.0009
326,A Competitive Analysis and Formulation of Strategy of University Spin Off Company,5,0.5969,0.3945,0.0011,0.0011,0.0011,0.0011,0.5969,0.0011,0.0011,0.0011,0.0011
327,The Spin-Off as an Instrument of Sustainable Development: Incentives for Creating an Academic USO,0,0.7481,0.7481,0.0012,0.0012,0.1193,0.0012,0.1243,0.0012,0.0012,0.0012,0.0012
328,The speed and acceleration of technological innovation in the small satellite manufacturing industry,5,0.98,0.0007,0.0007,0.0007,0.0007,0.0007,0.98,0.0007,0.0007,0.0144,0.0007
329,Business model revisited: a novel canvas for digital transformation,0,0.8325,0.8325,0.0008,0.0008,0.1607,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
330,Role of university-based innovation hubs in fostering entrepreneurship: a design-thinking perspectiv,0,0.992,0.992,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
331,The role of government-industry-academia partnership in business incubation: Evidence from new R&D i,0,0.4716,0.4716,0.0009,0.0009,0.1014,0.0009,0.4121,0.0009,0.0009,0.0096,0.0009
332,Why do academics become entrepreneurs? How do their motivations evolve? Results from an empirical st,0,0.8216,0.8216,0.0008,0.0008,0.172,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
333,Technology-based business incubators: the impacts on resources of startups in Brazil,0,0.7645,0.7645,0.001,0.0144,0.2144,0.001,0.001,0.001,0.001,0.001,0.001
334,"A bibliometric portrait of the evolution, scientific roots and influence of the literature on univer",0,0.7897,0.7897,0.001,0.001,0.001,0.001,0.2025,0.001,0.001,0.001,0.001
335,R&D networks and product innovation patterns -: academic and non-academic new technology-based firms,5,0.7759,0.0009,0.0009,0.0009,0.2166,0.0009,0.7759,0.0009,0.0009,0.0009,0.0009
336,ATOM INTERFEROMETRY: LOCKHEED MARTIN SYSTEMS DEVELOPMENT,5,0.5111,0.4801,0.0011,0.0011,0.0011,0.0011,0.5111,0.0011,0.0011,0.0011,0.0011
337,An exploratory study of Principal Investigator roles in UK university Proof-of-Concept processes: an,5,0.5479,0.4449,0.0009,0.0009,0.0009,0.0009,0.5479,0.0009,0.0009,0.0009,0.0009
338,AI Based Search Engine to Deploy a TRIZ Pointer to Chemical Effects,0,0.5956,0.5956,0.0011,0.0011,0.0011,0.0011,0.3957,0.0011,0.0011,0.0011,0.0011
339,The characteristics of bioentrepreneurs in the Australian biotechnology industry: A pilot study,0,0.7082,0.7082,0.0009,0.015,0.0009,0.0009,0.2703,0.0009,0.0009,0.0009,0.0009
340,Discovering potential founders within academic institutions,0,0.5315,0.5315,0.0009,0.0009,0.0009,0.0009,0.4615,0.0009,0.0009,0.0009,0.0009
341,Development of Start-up Companies: Empirical Study of Key Determinants,5,0.8056,0.0007,0.0007,0.0231,0.1662,0.0007,0.8056,0.0007,0.0007,0.0007,0.0007
342,The Formation of Fairness Perceptions in the Cooperation between Entrepreneurs and Universities,0,0.6667,0.6667,0.0009,0.0009,0.0554,0.0009,0.2716,0.0009,0.0009,0.0009,0.0009
343,University NSERC research and technology transfer - The DALSA Corporation case,5,0.5084,0.4639,0.001,0.001,0.001,0.001,0.5084,0.001,0.001,0.0206,0.001
344,Intellectual Capital in Academic Entrepreneurship: Moving Beyond Measurement,0,0.8848,0.8848,0.0007,0.0007,0.0878,0.0007,0.0007,0.0007,0.0222,0.0007,0.0007
345,Key Factors of AS Performance in Emerging Central and Eastern European Countries: Evidence from Roma,0,0.4158,0.4158,0.0007,0.0007,0.2078,0.0007,0.3716,0.0007,0.0007,0.0007,0.0007
346,THE ASPECTS OF KNOWLEDGE LOGISTICS IN THE PROCESS OF CREATING UNIVERSITY HIGH-GROWTH TECHNOLOGY BUSI,0,0.6063,0.6063,0.0007,0.0007,0.0007,0.0007,0.3882,0.0007,0.0007,0.0007,0.0007
347,Double-stranded sperm DNA damage is a cause of delay in embryo development and can impair implantati,5,0.4776,0.3131,0.0013,0.0013,0.2003,0.0013,0.4776,0.0013,0.0013,0.0013,0.0013
348,TRIPLE HELIX MODEL OF INNOVATIVE DEVELOPMENT: ROLE OF LOCAL GOVERNMENTS IN REGIONS OF LATVIA,5,0.5401,0.4187,0.0007,0.0007,0.0362,0.0007,0.5401,0.0007,0.0007,0.0007,0.0007
349,Knowledge management in entrepreneurial universities A structured literature review and avenue for f,0,0.9745,0.9745,0.0009,0.0009,0.0009,0.0009,0.0186,0.0009,0.0009,0.0009,0.0009
350,Describing the Emergence of Interaction Mechanisms Within an Innovation Ecosystem,0,0.7403,0.7403,0.0006,0.0006,0.0006,0.0006,0.255,0.0006,0.0006,0.0006,0.0006
351,Enhancing technology transfer through entrepreneurial development: practices from innovation spaces,0,0.821,0.821,0.0007,0.0007,0.0007,0.0007,0.1737,0.0007,0.0007,0.0007,0.0007
352,Which Professors are Helping Universities to Transfer Technology by Creating Spin off?,5,0.6154,0.3792,0.0007,0.0007,0.0007,0.0007,0.6154,0.0007,0.0007,0.0007,0.0007
353,Which Knowledge Becomes a Spin-Off? An Exploratory Survey on Italian Context,5,0.5319,0.4626,0.0007,0.0007,0.0007,0.0007,0.5319,0.0007,0.0007,0.0007,0.0007
354,UNIVERSITY-GOVERNMENT BACKED VENTURE CAPITALIST STRATEGIC PARTNERSHIP IN THE FORMATION OF SPIN-OFF C,5,0.6118,0.382,0.0008,0.0008,0.0008,0.0008,0.6118,0.0008,0.0008,0.0008,0.0008
355,Davids vs Goliaths in the small satellite industry: the role of technological innovation dynamics in,5,0.9894,0.0006,0.0006,0.0006,0.0006,0.0006,0.9894,0.0006,0.0006,0.0059,0.0006
356,University revenues from technology transfer: Licensing fees vs. equity positions,5,0.9945,0.0006,0.0006,0.0006,0.0006,0.0006,0.9945,0.0006,0.0006,0.0006,0.0006
357,Design-as-translation and enabling factor in academic entrepreneurship: An analysis of MIT SENSEable,0,0.9626,0.9626,0.0005,0.0333,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
358,Student venture creation: developing social networks within entrepreneurial ecosystems in the transi,0,0.9452,0.9452,0.0006,0.0354,0.0006,0.0006,0.0154,0.0006,0.0006,0.0006,0.0006
359,Mechanisms for facilitating academic entrepreneurship in higher education,0,0.852,0.852,0.0005,0.0005,0.1443,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
360,Building entrepreneurial ecosystems: the case of Coimbra,0,0.8265,0.8265,0.0003,0.0283,0.0904,0.0003,0.0527,0.0003,0.0003,0.0003,0.0003
361,Research on entrepreneurial orientation: current status and future agenda,0,0.9777,0.9777,0.0004,0.0004,0.0004,0.0004,0.0194,0.0004,0.0004,0.0004,0.0004
362,Academic entrepreneurship: Which inventors do technology licensing officers prefer for spinoffs?,5,0.9795,0.0023,0.0023,0.0023,0.0023,0.0023,0.9795,0.0023,0.0023,0.0023,0.0023
365,Who is the academic entrepreneur? The role of graduate students in the development of university spi,0,0.6308,0.6308,0.0012,0.0012,0.0012,0.0012,0.3597,0.0012,0.0012,0.0012,0.0012
366,Determinants and consequences of university spinoff activity: a conceptual framework,0,0.8371,0.8371,0.0018,0.0018,0.0018,0.0018,0.1489,0.0018,0.0018,0.0018,0.0018
367,"Entrepreneurial orientation, technology transfer and spinoff performance of US universities",5,0.6862,0.0017,0.0017,0.0017,0.3,0.0017,0.6862,0.0017,0.0017,0.0017,0.0017
368,Process and variance research: Integrating research on university spinoff evolution,0,0.6416,0.6416,0.0014,0.0014,0.3476,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
369,Mobility and Academic Entrepreneurship: An Empirical Analysis of Japanese Scientists,0,0.9663,0.9663,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0248,0.0011
370,Are public subsidies effective for university spinoffs? Evidence from SBIR awards in the University ,5,0.6671,0.2807,0.0011,0.0011,0.0442,0.0011,0.6671,0.0011,0.0011,0.0011,0.0011
371,Empirical analysis of the effect of Japanese university spinoffs' social networks on their performan,3,0.9264,0.0013,0.0013,0.0632,0.9264,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
372,Effects of the quality of science and innovation on venture financing: evidence from university spin,5,0.4869,0.113,0.0012,0.0012,0.3917,0.0012,0.4869,0.0012,0.0012,0.0012,0.0012
373,Empirical Analysis of the Effect of Japanese University Spinoffs' Social Networks on Their Performan,3,0.9227,0.0013,0.0013,0.0669,0.9227,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
374,Effects of the quality of science on the initial public offering of university spinoffs: evidence fr,5,0.4668,0.1993,0.0011,0.0011,0.3266,0.0011,0.4668,0.0011,0.0011,0.0011,0.0011
375,The publishing and patenting strategies of successful university spinoffs in the biopharmaceutical i,5,0.985,0.0017,0.0017,0.0017,0.0017,0.0017,0.985,0.0017,0.0017,0.0017,0.0017
376,Management of Chinese University-based Industry Complexes Compared with Japanese University-Universi,5,0.9763,0.0026,0.0026,0.0026,0.0026,0.0026,0.9763,0.0026,0.0026,0.0026,0.0026
377,Making the whole university entrepreneurial - decades of legitimacy-building through Chalmers School,0,0.9845,0.9845,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
378,Public or private entrepreneurship? Revisiting motivations and definitions of success among academic,0,0.5369,0.5369,0.0014,0.0014,0.0014,0.0014,0.4517,0.0014,0.0014,0.0014,0.0014
380,Can University Spinoffs Acquire Managers from Industry? Empirical Analysis of Technology Management ,5,0.5349,0.2235,0.001,0.001,0.2346,0.001,0.5349,0.001,0.001,0.001,0.001
381,United we stand? Organizational groups and spinoff mortality in the context of academic entrepreneur,5,0.3677,0.2832,0.0017,0.0017,0.3373,0.0017,0.3677,0.0017,0.0017,0.0017,0.0017
383,An Empirical Study on Sustainable Innovation Academic Entrepreneurship Process Model,0,0.8005,0.8005,0.0009,0.0009,0.0009,0.0009,0.192,0.0009,0.0009,0.0009,0.0009
384,The effects of public policies in fostering university spinoffs in Italy,5,0.6919,0.2914,0.0021,0.0021,0.0021,0.0021,0.6919,0.0021,0.0021,0.0021,0.0021
385,Signaling in academic ventures: the role of technology transfer offices and university funds,5,0.7263,0.0011,0.0011,0.0011,0.2652,0.0011,0.7263,0.0011,0.0011,0.0011,0.0011
386,Do academic spinoffs internationalize?,3,0.5575,0.2971,0.0014,0.0014,0.5575,0.0014,0.0498,0.0014,0.0014,0.0871,0.0014
387,University technology transfer through entrepreneurship: faculty and students in spinoffs,0,0.6591,0.6591,0.0014,0.0014,0.0014,0.0014,0.3299,0.0014,0.0014,0.0014,0.0014
388,Exploring the Role of University-Run Enterprises in Technology Transfer from Chinese Universities,5,0.8314,0.1519,0.0021,0.0021,0.0021,0.0021,0.8314,0.0021,0.0021,0.0021,0.0021
389,In search of the profit-maximizing actor: motivations and definitions of success from nascent academ,0,0.6323,0.6323,0.0016,0.0016,0.0016,0.0016,0.355,0.0016,0.0016,0.0016,0.0016
390,The effectiveness of university knowledge spillovers: Performance differences between university spi,5,0.5627,0.2436,0.001,0.001,0.1871,0.001,0.5627,0.001,0.001,0.001,0.001
391,A startup postdoc program as a channel for university technology transfer: the case of the Runway St,0,0.7799,0.7799,0.0011,0.0011,0.0011,0.0011,0.2112,0.0011,0.0011,0.0011,0.0011
392,The effects of university rules on spinoff creation: The case of academia in Italy,0,0.5352,0.5352,0.001,0.001,0.001,0.001,0.457,0.001,0.001,0.001,0.001
393,Effectuation and causation in science-based new venture creation: A configurational approach,5,0.6479,0.3373,0.0019,0.0019,0.0019,0.0019,0.6479,0.0019,0.0019,0.0019,0.0019
394,Launching lean: insights from early-stage entrepreneurship development programs for scientists,0,0.9922,0.9922,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
395,The survival of academic spinoff companies: An empirical study of key determinants,5,0.6642,0.0012,0.0012,0.0012,0.3259,0.0012,0.6642,0.0012,0.0012,0.0012,0.0012
396,A trajectory of early-stage spinoff success: the role of knowledge intermediaries within an entrepre,0,0.735,0.735,0.001,0.0481,0.1051,0.001,0.106,0.001,0.001,0.001,0.001
397,Shareholder networks of university spinoff companies: firm development and regional characteristics,3,0.4803,0.4595,0.001,0.0327,0.4803,0.001,0.001,0.0214,0.001,0.001,0.001
398,Defining networks in entrepreneurial ecosystems: the openness of ecosystems,0,0.6305,0.6305,0.0012,0.0633,0.2975,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
399,Constraining entrepreneurial development: A knowledge-based view of social networks among academic e,0,0.5401,0.5401,0.0008,0.0866,0.1436,0.0008,0.2246,0.0008,0.0008,0.0008,0.0008
400,The signal of institutional governance in early-stage financing for university spinoffs,5,0.8906,0.0007,0.0007,0.0007,0.1035,0.0007,0.8906,0.0007,0.0007,0.0007,0.0007
401,A taxonomy of the knowledge spillover theory of entrepreneurship: firm types and knowledge sources,0,0.5556,0.5556,0.0015,0.0015,0.3732,0.0015,0.0605,0.0015,0.0015,0.0015,0.0015
402,"University entrepreneurial ecosystems and spinoff companies: Configurations, developments and outcom",0,0.6479,0.6479,0.0014,0.0014,0.1088,0.0014,0.2334,0.0014,0.0014,0.0014,0.0014
403,Entrepreneurship,5,0.4973,0.4933,0.0012,0.0012,0.0012,0.0012,0.4973,0.0012,0.0012,0.0012,0.0012
404,Digital academic entrepreneurship: The potential of digital technologies on academic entrepreneurshi,0,0.9887,0.9887,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
405,University Spinoffs as Vehicles for Economic Development: Implementing the Changing Role of the Inst,0,0.7238,0.7238,0.0012,0.0345,0.0012,0.0012,0.2331,0.0012,0.0012,0.0012,0.0012
406,Exploring the Role of Innovation in Academic Entrepreneurship,0,0.9769,0.9769,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026
407,Construction of theoretical model of academic entrepreneurship behavior map: based on grounded theor,0,0.9885,0.9885,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
408,"Entrepreneurial Motivations, Entrepreneurial Persistence, and Academic Entrepreneurship Performance:",0,0.5968,0.5968,0.0012,0.0012,0.3939,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
409,A process model of academic entrepreneurship,0,0.9892,0.9892,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
410,SCIENTOMETRIC MAPPING: ON CREATING A DATABASE FOR INNOVATION DYNAMICS OF URBAN SETTLEMENTS,0,0.5528,0.5528,0.0011,0.1112,0.2429,0.0011,0.0868,0.0011,0.0011,0.0011,0.0011
411,Digital Academic Entrepreneurship: A structured literature review and avenue for a research agenda,0,0.9906,0.9906,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
412,Knowledge resources and the acquisition of spinouts,5,0.9648,0.001,0.001,0.001,0.0271,0.001,0.9648,0.001,0.001,0.001,0.001
413,INSTITUTIONALIZED ACADEMIC ENTREPRENEURSHIP AND ACADEMIC SPIN-OFFS,0,0.7676,0.7676,0.0034,0.0034,0.0034,0.0034,0.2048,0.0034,0.0034,0.0034,0.0034
414,Academic Entrepreneurship: Time for a Rethink?,0,0.9816,0.9816,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
416,Developing a Reflective-Formative-Formative Scale for Measuring University Entrepreneurial Ecosystem,0,0.9571,0.9571,0.0013,0.0013,0.0326,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
417,Academic entrepreneurship: the permanent evolution?,0,0.94,0.94,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067
418,Analysis of Influencing Factors of Academic Entrepreneurship Based on Blockchain,0,0.8692,0.8692,0.001,0.001,0.1227,0.001,0.001,0.001,0.001,0.001,0.001
419,Academic entrepreneurship in the humanities and social sciences: a systematic literature review and ,0,0.9757,0.9757,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027
420,"ACADEMIC ENTREPRENEURSHIP: THE ROLES OF IDENTITY, MOTIVATION, CHAMPIONING, EDUCATION, WORK-LIFE BALA",0,0.9866,0.9866,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
421,Academic entrepreneurship - a challenge for university - industry synergy,0,0.9775,0.9775,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
422,A Study on Impact of Academic Entrepreneurship on Industrial Innovation and Moderating Effect of Org,3,0.5376,0.4488,0.0017,0.0017,0.5376,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
423,"Governance arrangements for academic entrepreneurship: structures, processes, and mechanisms",0,0.9931,0.9931,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
424,What business schools do to support academic entrepreneurship: a systematic literature review and fu,0,0.965,0.965,0.0022,0.0172,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022
425,Academic Entrepreneurship and Innovation in Higher Education: An Integrated Framework for Malaysian ,0,0.9868,0.9868,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
426,What determines academic entrepreneurship success? A social identity perspective,0,0.728,0.728,0.0013,0.0013,0.2616,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
427,Rough set-based evaluation of academic entrepreneurial performance of university teachers,0,0.7268,0.7268,0.0008,0.0008,0.2668,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
428,Does context matter in academic entrepreneurship? The role of barriers and drivers in the regional a,0,0.9925,0.9925,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
429,Alliances and the innovation performance of corporate and public research spin-off firms,5,0.9914,0.001,0.001,0.001,0.001,0.001,0.9914,0.001,0.001,0.001,0.001
430,User-Industry Spinouts: Downstream Industry Knowledge as a Source of New Firm Entry and Survival,5,0.9914,0.001,0.001,0.001,0.001,0.001,0.9914,0.001,0.001,0.001,0.001
431,30 years after Bayh-Dole: Reassessing academic entrepreneurship,0,0.6781,0.6781,0.0024,0.0024,0.0024,0.0024,0.3029,0.0024,0.0024,0.0024,0.0024
432,Sustainable academic entrepreneurship: How can it be activated in universities?,0,0.9816,0.9816,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
433,Academic entrepreneurship and the research productivity in Poland,0,0.9497,0.9497,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0362,0.0018
434,Sustainable technology development during intellectual property rights commercialisation by universi,0,0.8614,0.8614,0.0011,0.0011,0.0011,0.0011,0.1113,0.0198,0.0011,0.0011,0.0011
435,Does entrepreneurship belong in the academy? Revisiting the idea of the university,0,0.9827,0.9827,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
436,Academic Entrepreneurship in CALL: A Significant Subject in the Era of Knowledge Economy,0,0.9845,0.9845,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
437,Academic entrepreneurship - Views on balancing the Acropolis and the Agora,0,0.9827,0.9827,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
438,Academic entrepreneurship and traditional academic duties: synergy or rivalry?,0,0.8635,0.8635,0.0016,0.0016,0.1236,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
439,Academic Entrepreneurship in the Czech Republic,0,0.815,0.815,0.0015,0.0015,0.0015,0.0015,0.1592,0.0015,0.0015,0.0152,0.0015
440,Academic entrepreneurship and institutional change in historical perspective,0,0.9897,0.9897,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
441,Influencing Factors of Academic Entrepreneurship-Based Knowledge Mapping: A Comparative Analysis of ,0,0.9275,0.9275,0.0011,0.0117,0.0011,0.0011,0.0011,0.0011,0.0011,0.0534,0.0011
442,"Individual Ambidexterity, Relational Context and Academic Entrepreneurship Performance: Too Much of ",0,0.5739,0.5739,0.0011,0.0011,0.4169,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
443,Academic entrepreneurship and business schools,0,0.8907,0.8907,0.0009,0.0009,0.0009,0.0009,0.1024,0.0009,0.0009,0.0009,0.0009
444,Digital transformation shaping structural pillars for academic entrepreneurship: A framework proposa,0,0.991,0.991,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
445,Towards a Taxonomy of Academic Entrepreneurship Literature: Contributions for Latin America,0,0.9864,0.9864,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
446,Who am I? The influence of social identification on academic entrepreneurs' role conflict,0,0.8906,0.8906,0.0014,0.0014,0.0984,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
447,Academic entrepreneurship in the creative arts,0,0.9576,0.9576,0.0015,0.0306,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
448,Digital academic entrepreneurship in emerging economies: Antecedents of social media adoption for ac,0,0.9907,0.9907,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
449,"Academic entrepreneurship, technology transfer and society: where next?",0,0.8487,0.8487,0.0022,0.1339,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022
450,Identifying the emergence of academic entrepreneurship within the technology transfer literature,0,0.7408,0.7408,0.0022,0.0022,0.0022,0.0022,0.2419,0.0022,0.0022,0.0022,0.0022
451,Universities' institutional settings and academic entrepreneurship: Notes from a developing country,0,0.9893,0.9893,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
452,Academic entrepreneurship and attentional discrepancy among key stakeholders: Evidence from research,0,0.987,0.987,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
454,A Story within Stories: Using an Analytic Framework to Move from Individual to Collective Storying i,0,0.8418,0.8418,0.0012,0.1489,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
455,Teachers' perspective on institutional barriers to academic entrepreneurship - a case of Uttarakhand,0,0.9906,0.9906,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
456,"Academic entrepreneurs' effectuation logic, role innovation, and academic entrepreneurship performan",0,0.9242,0.9242,0.001,0.001,0.0679,0.001,0.001,0.001,0.001,0.001,0.001
457,Public policy for academic entrepreneurship initiatives: a review and critical discussion,0,0.789,0.789,0.0015,0.0182,0.0015,0.0015,0.1824,0.0015,0.0015,0.0015,0.0015
458,THE ROLE OF THE ACADEMIC ENTREPRENEURSHIP ECOSYSTEM IN BUILDING ENTREPRENEURIAL AND INNOVATION POTEN,0,0.9943,0.9943,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
460,University double bind: How academic entrepreneurship works in Russia,0,0.9889,0.9889,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
461,ASSOCIATION OF RESEARCHER CHARACTERISTICS AND ENTREPRENEURIAL INTENTION,0,0.8708,0.8708,0.0017,0.0017,0.1156,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
462,Gender and innovation through an intersectional lens: Re-imagining academic entrepreneurship in the ,0,0.79,0.79,0.0016,0.0016,0.1975,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
463,Academic Entrepreneurship in Post-transition Country-Case Study of Croatia,0,0.7475,0.7475,0.0014,0.0014,0.0014,0.0014,0.2414,0.0014,0.0014,0.0014,0.0014
464,"Scientist or Entrepreneur? Identity centrality, university entrepreneurial mission, and academic ent",0,0.8545,0.8545,0.0015,0.0015,0.0015,0.0015,0.1334,0.0015,0.0015,0.0015,0.0015
465,The Hard Skills Bases in Digital Academic Entrepreneurship in Relation to Digital Transformation,0,0.9917,0.9917,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
467,Academic entrepreneurship: promise and perils,0,0.9471,0.9471,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059
468,Digital Entrepreneurship in Indonesia: A Human Capital Perspective,0,0.9916,0.9916,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
469,Academic entrepreneurship: work identity in contexts,0,0.9892,0.9892,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
470,The Impact of Marketing Culture and Rational Decision on Academic Entrepreneurship and Entrepreneuri,0,0.8158,0.8158,0.0012,0.0012,0.0012,0.0012,0.1743,0.0012,0.0012,0.0012,0.0012
