Keyword,Z_Score,Recent_Avg_Freq,Historical_Avg_Freq,Total_Frequency,Is_Burst,Years_Active
ONLINE COMMUNITIES,2.0,1.0,0.0,2,False,1
COMMUNICATION MEDIA,2.0,1.0,0.0,2,False,1
DIGITAL SERVICES,2.0,1.0,0.0,2,False,1
PERCEIVED FEASIBILITY,2.0,1.0,0.0,2,False,1
GREEK AGRIFOOD FIRMS,2.0,1.0,0.0,2,False,1
CULTURAL FACTORS,2.0,1.0,0.0,2,False,1
SERIAL MEDIATION,2.0,1.0,0.0,2,False,2
IDENTITY,1.96,2.0,0.23,11,False,5
EMERGING ECONOMIES,1.94,1.5,0.23,10,False,5
DIGITAL TECHNOLOGIES,1.92,2.5,0.39,17,False,6
QUALITY,1.88,1.0,0.16,7,False,5
BARRIERS,1.88,1.0,0.16,7,False,5
UNCERTAINTY,1.88,1.0,0.16,7,False,6
OPPORTUNITY RECOGNITION,1.85,1.5,0.16,8,False,4
FAILURE,1.77,0.5,0.06,3,False,3
HEALTH,1.77,0.5,0.06,3,False,3
TECHNOLOGICAL INNOVATION,1.77,0.5,0.06,3,False,3
CULTURAL ENTREPRENEURSHIP,1.77,0.5,0.06,3,False,3
LOGIC,1.77,0.5,0.06,3,False,3
TEAMS,1.77,0.5,0.06,3,False,3
SERVICES,1.77,0.5,0.06,3,False,3
COMMERCE,1.77,0.5,0.06,3,False,3
DIGITAL ENTREPRENEURSHIP (DE),1.77,0.5,0.06,3,False,3
ROLE-MODELS,1.77,0.5,0.06,3,False,3
DEVELOPERS,1.77,0.5,0.06,3,False,3
LESSONS,1.77,0.5,0.06,3,False,3
ENTREPRENEURIAL ALERTNESS,1.77,0.5,0.06,3,False,3
COLLABORATIVE ECONOMY,1.77,0.5,0.06,3,False,3
ENTREPRENEURIAL OPPORTUNITY,1.77,0.5,0.06,3,False,3
ACCELERATORS,1.77,0.5,0.06,3,False,3
LIMINALITY,1.77,0.5,0.06,3,False,3
ENTREPRENEURIAL LEARNING,1.77,0.5,0.06,3,False,3
EXPERIENCE,1.77,0.5,0.06,3,False,3
WORD-OF-MOUTH,1.77,0.5,0.06,3,False,3
PERCEPTION,1.77,0.5,0.06,3,False,3
EASE,1.77,0.5,0.06,3,False,3
ENTREPRENEURIAL PASSION,1.77,0.5,0.06,3,False,3
QUADRUPLE HELIX,1.77,0.5,0.06,3,False,3
INNOVATION ECOSYSTEM,1.77,0.5,0.06,3,False,3
TOPIC MODELING,1.77,0.5,0.06,3,False,3
AFFORDANCES,1.77,0.5,0.06,3,False,3
ISOMORPHISM,1.77,0.5,0.06,3,False,3
SATURATION,1.77,0.5,0.06,3,False,3
SKILLS,1.77,0.5,0.06,3,False,3
STRATEGIC ENTREPRENEURSHIP,1.77,0.5,0.06,3,False,3
CONCEPTUAL-FRAMEWORK,1.77,0.5,0.06,3,False,3
FIT,1.77,0.5,0.06,3,False,3
PRODUCT DEVELOPMENT,1.72,1.0,0.19,8,False,7
RESILIENCE,1.63,1.0,0.16,7,False,4
DIGITALISATION,1.63,1.0,0.16,7,False,4
OPPORTUNITIES,1.6,2.0,0.39,16,False,7
DIGITAL INNOVATION,1.6,2.5,0.52,21,False,8
EVOLUTION,1.51,1.0,0.19,8,False,6
CREATIVITY,1.46,1.5,0.19,9,False,3
INFORMAL ECONOMY,1.36,0.5,0.1,4,False,4
OPEN INNOVATION,1.36,2.0,0.35,15,False,5
SUPPLY CHAIN MANAGEMENT,1.36,0.5,0.1,4,False,4
PASSION,1.36,0.5,0.1,4,False,4
ARCHITECTURE,1.36,0.5,0.1,4,False,4
UNIVERSITY,1.36,0.5,0.1,4,False,4
YOUTUBE,1.36,0.5,0.1,4,False,4
INTERSECTIONALITY,1.36,0.5,0.1,4,False,4
EGYPT,1.23,0.5,0.06,3,False,2
CRISIS,1.23,0.5,0.06,3,False,2
ADVANTAGE,1.23,0.5,0.06,3,False,2
FIRM GROWTH,1.23,0.5,0.06,3,False,2
ENTREPRENEURIAL OPPORTUNITIES,1.23,0.5,0.06,3,False,2
COORDINATION,1.23,0.5,0.06,3,False,2
SMALL AND MEDIUM-SIZED ENTERPRISES,1.23,0.5,0.06,3,False,2
SUGGESTIONS,1.23,0.5,0.06,3,False,2
RESOURCES,1.18,1.0,0.23,9,False,6
INTERNATIONAL ENTREPRENEURSHIP,1.11,0.5,0.13,5,False,5
COMPETENCES,1.11,0.5,0.13,5,False,5
POLITICS,1.11,0.5,0.13,5,False,5
ORGANIZATIONS,1.1,1.0,0.23,9,False,5
EFFECTUATION,1.04,2.5,0.65,25,False,8
MEDIUM-SIZED ENTERPRISES,1.03,0.5,0.1,4,False,3
BROAD-BAND,1.03,0.5,0.1,4,False,3
FACEBOOK,1.03,0.5,0.1,4,False,3
FIRM FORMATION,1.03,0.5,0.1,4,False,3
FINANCIAL INCLUSION,1.03,0.5,0.1,4,False,3
POVERTY,1.03,0.5,0.1,4,False,3
SELF-DETERMINATION THEORY,1.03,0.5,0.1,4,False,3
LEAN STARTUP APPROACHES,1.03,0.5,0.1,4,False,3
MOBILE APPLICATIONS,1.03,0.5,0.1,4,False,3
EDUCATION RESEARCH,1.0,0.5,0.0,1,False,1
GLOBAL MARKETS,1.0,0.5,0.0,1,False,1
SUGGESTION,1.0,0.5,0.0,1,False,1
TWIN TRANSITION,1.0,0.5,0.0,1,False,1
HIGH-RELIABILITY,1.0,0.5,0.0,1,False,1
ENTREPRENEURIAL OPPORTUNITY SEARCH,1.0,0.5,0.0,1,False,1
AI ECOSYSTEM,1.0,0.5,0.0,1,False,1
COMPARATIVE-ANALYSIS QCA,1.0,0.5,0.0,1,False,1
STUDENT,1.0,0.5,0.0,1,False,1
MINDFUL ORGANIZING,1.0,0.5,0.0,1,False,1
MINDFULNESS,1.0,0.5,0.0,1,False,1
EARLY BIRDS,1.0,0.5,0.0,1,False,1
SELECTION,1.0,0.5,0.0,1,False,1
ENTREPRENEURIAL COMPETENCY,1.0,0.5,0.0,1,False,1
INFORMATION SOURCE SELECTION THEORY,1.0,0.5,0.0,1,False,1
BUILDING RESILIENCE,1.0,0.5,0.0,1,False,1
ENTREPRENEURSHIP IN MATURE INDUSTRIES,1.0,0.5,0.0,1,False,1
FUZZY ROUGH SET THEORY,1.0,0.5,0.0,1,False,1
NARRATIVE ROLES,1.0,0.5,0.0,1,False,1
ENTREPRENEURIAL ACTIONS,1.0,0.5,0.0,1,False,1
IDENTITY CONSTRUCTION,1.0,0.5,0.0,1,False,1
SOCIAL MEDIA OPTIMIZATION,1.0,0.5,0.0,1,False,1
PLATFORM MANAGEMENT,1.0,0.5,0.0,1,False,1
BORN-GLOBAL FIRMS,1.0,0.5,0.0,1,False,1
MULTIDIMENSIONAL EMPOWERMENT,1.0,0.5,0.0,1,False,1
ENTREPRENEURSHIP AND MARKETING,1.0,0.5,0.0,1,False,1
BUSINESS-TO-BUSINESS,1.0,0.5,0.0,1,False,1
START-UPS' CAPABILITIES,1.0,0.5,0.0,1,False,1
RECOMMENDATIONS,1.0,0.5,0.0,1,False,1
SOCIAL ENTREPRENEURSHIP CENTER DOT SYSTEM ENTREPRENEURSHIP CENTER DOT DIGITAL ENTREPRENEURSHIP ECOSYSTEM CENTER DOT KNOWLEDGE MANAGEMENT CENTER DOT KNOWLEDGE CO-CREATION,1.0,0.5,0.0,1,False,1
COGNITIVE STYLES,1.0,0.5,0.0,1,False,1
INDIVIDUAL ENTREPRENEURIAL ORIENTATION,1.0,0.5,0.0,1,False,1
FREE TOURS,1.0,0.5,0.0,1,False,1
TRANSFORMATIONAL LEADERSHIP TENDENCY,1.0,0.5,0.0,1,False,1
INNOVATION PROCESSES,1.0,0.5,0.0,1,False,1
ONLINE RETAILERS,1.0,0.5,0.0,1,False,1
PROPENSITY SCORE MATCHING,1.0,0.5,0.0,1,False,1
DIGITAL INTERMEDIATION,1.0,0.5,0.0,1,False,1
GURUWALK,1.0,0.5,0.0,1,False,1
FINANCIAL TECHNOLOGY,1.0,0.5,0.0,1,False,1
MARKETING STRATEGIES,1.0,0.5,0.0,1,False,1
PLATFORM TOURISM,1.0,0.5,0.0,1,False,1
SUSTAINABLE TRANSITIONS,1.0,0.5,0.0,1,False,1
HIGH-GROWTH,1.0,0.5,0.0,1,False,1
BUSINESS EFFICIENCY,1.0,0.5,0.0,1,False,1
CORPORATE,1.0,0.5,0.0,1,False,1
LARGE ORGANIZATIONS,1.0,0.5,0.0,1,False,1
ANALOG ENTREPRENEURSHIP,1.0,0.5,0.0,1,False,1
ENVIRONMENTAL DEGRADATION,1.0,0.5,0.0,1,False,1
OPPORTUNITY-ORIENTATION,1.0,0.5,0.0,1,False,1
OUTSOURCING,1.0,0.5,0.0,1,False,1
INFORMATION LITERACY,1.0,0.5,0.0,1,False,1
COMMODITY CHAIN,1.0,0.5,0.0,1,False,1
CAPITALISM,1.0,0.5,0.0,1,False,1
AFRICAN ENTREPRENEURSHIP,1.0,0.5,0.0,1,False,1
MIGRANT DIGITAL ENTREPRENEURSHIP,1.0,0.5,0.0,1,False,1
USER CITIZENSHIP,1.0,0.5,0.0,1,False,1
CORPORATE FORESIGHT,1.0,0.5,0.0,1,False,1
MATTER,1.0,0.5,0.0,1,False,1
WELLBEING,1.0,0.5,0.0,1,False,1
DARK SIDE,1.0,0.5,0.0,1,False,1
OVERLOAD,1.0,0.5,0.0,1,False,1
ENTREPRENEURIAL EVENT MODEL (EEM),1.0,0.5,0.0,1,False,1
GENDER DIVERSITY,1.0,0.5,0.0,1,False,1
CHAINS,1.0,0.5,0.0,1,False,1
PATENTS,1.0,0.5,0.0,1,False,1
TRANSNATIONAL MARRIAGE,1.0,0.5,0.0,1,False,1
MULTINATIONALS,1.0,0.5,0.0,1,False,1
SCHOLARSHIP,1.0,0.5,0.0,1,False,1
BEHAVIOUR,1.0,0.5,0.0,1,False,1
MYANMAR BRIDES,1.0,0.5,0.0,1,False,1
CULTURAL BARRIERS,1.0,0.5,0.0,1,False,1
MARKETPLACE,1.0,0.5,0.0,1,False,1
DIGITAL WORK PLATFORMS,1.0,0.5,0.0,1,False,1
FREELANCERS,1.0,0.5,0.0,1,False,1
LIABILITY OF SMALLNESS,1.0,0.5,0.0,1,False,1
L24,1.0,0.5,0.0,1,False,1
SUPPLIER RELATIONSHIPS,1.0,0.5,0.0,1,False,1
SMALL AND MICRO ENTERPRISES,1.0,0.5,0.0,1,False,1
TRANSACTION-COST ECONOMICS,1.0,0.5,0.0,1,False,1
INFRASTRUCTURE GOVERNANCE,1.0,0.5,0.0,1,False,1
AI STARTUPS,1.0,0.5,0.0,1,False,1
GENERATIVE PRETRAINED TRANSFORMERS,1.0,0.5,0.0,1,False,1
OWNERS ENTRY,1.0,0.5,0.0,1,False,1
SMALL AND MEDIUM-SIZED MANUFACTURING,1.0,0.5,0.0,1,False,1
AI REGULATION,1.0,0.5,0.0,1,False,1
MEDIA LITERACY,1.0,0.5,0.0,1,False,1
MOVES,1.0,0.5,0.0,1,False,1
SOUTH AMERICA,1.0,0.5,0.0,1,False,1
PIPELINE,1.0,0.5,0.0,1,False,1
NON-FUNGIBLE TOKENS,1.0,0.5,0.0,1,False,1
MODE STRATEGIES,1.0,0.5,0.0,1,False,1
DIGITAL CROWDFUNDING PLATFORMS,1.0,0.5,0.0,1,False,1
COUNTY-LEVEL ENTREPRENEURIAL ACTIVITY,1.0,0.5,0.0,1,False,1
SUPPLY CHAIN TRUST,1.0,0.5,0.0,1,False,1
GRAND CHALLENGES,1.0,0.5,0.0,1,False,1
TECHNOLOGY RENEWAL,1.0,0.5,0.0,1,False,1
RURAL SUSTAINABLE DEVELOPMENT,1.0,0.5,0.0,1,False,1
BORDERLAND CITIZENSHIP,1.0,0.5,0.0,1,False,1
DIFFERENCE-IN-DIFFERENCES MODEL,1.0,0.5,0.0,1,False,1
OPPORTUNITY ENTREPRENEURS,1.0,0.5,0.0,1,False,1
GOVERNMENT DIGITAL GOVERNANCE,1.0,0.5,0.0,1,False,1
BUSINESSES,1.0,0.5,0.0,1,False,1
CHINA-MYANMAR BORDER,1.0,0.5,0.0,1,False,1
SNOWBALL SAMPLING,1.0,0.5,0.0,1,False,1
CUSTOMER VALUE,1.0,0.5,0.0,1,False,1
DIASPORA ENTREPRENEURS,1.0,0.5,0.0,1,False,1
AMBIDEXTERITY,1.0,0.5,0.0,1,False,1
PLATFORM-DEPENDENT ENTREPRENEUR,1.0,0.5,0.0,1,False,1
ETHNIC ENTREPRENEURSHIP,1.0,0.5,0.0,1,False,1
COMPLEMENTOR COMMUNITY,1.0,0.5,0.0,1,False,1
ACTS OF CITIZENSHIP,1.0,0.5,0.0,1,False,1
FACEBOOK CONSORTIUMS,1.0,0.5,0.0,1,False,1
COMMUNITY ATTACHMENT,1.0,0.5,0.0,1,False,1
MICRO,1.0,0.5,0.0,1,False,1
RESOURCING,1.0,0.5,0.0,1,False,1
SPORT,1.0,0.5,0.0,1,False,1
WOMEN'S ECONOMIC EMPOWERMENT,1.0,0.5,0.0,1,False,1
M19,1.0,0.5,0.0,1,False,1
LONGITUDINAL CASE STUDY,1.0,0.5,0.0,1,False,1
FOURTH INDUSTRIAL REVOLUTION,1.0,0.5,0.0,1,False,1
WORKERS,1.0,0.5,0.0,1,False,1
NECESSITY,1.0,0.5,0.0,1,False,1
RULES OF THE GAME,1.0,0.5,0.0,1,False,1
CHANNEL CO-OPETITION,1.0,0.5,0.0,1,False,1
OPPORTUNITY- AND NECESSITY-DRIVEN ENTREPRENEURSHIP,1.0,0.5,0.0,1,False,1
CHALLENGES OF BUSINESS MODEL INNOVATION,1.0,0.5,0.0,1,False,1
DIGITAL ENTREPRENEURIAL CAPACITY,1.0,0.5,0.0,1,False,1
GENERATIVE ARTIFICIAL INTELLIGENCE,1.0,0.5,0.0,1,False,1
DATA-DRIVEN POLICY SIMULATION,1.0,0.5,0.0,1,False,1
MULTI-METHODOLOGICAL APPROACH,1.0,0.5,0.0,1,False,1
RISKS,1.0,0.5,0.0,1,False,1
COGNITIVE FLEXIBILITY THEORY,1.0,0.5,0.0,1,False,1
MODEL INNOVATION,1.0,0.5,0.0,1,False,1
ONLINE SHOP OPERATION,1.0,0.5,0.0,1,False,1
NECESSITY ENTREPRENEURSHIP,1.0,0.5,0.0,1,False,1
MULTIPLE EMBEDDEDNESS,1.0,0.5,0.0,1,False,1
INDUSTRY 4.0 (I4.0),1.0,0.5,0.0,1,False,1
ENTREPRENEURIAL COMPETENCE,1.0,0.5,0.0,1,False,1
ENTREPRENEURIAL COMPETENCIES,1.0,0.5,0.0,1,False,1
CONCEPTUAL-MODEL,1.0,0.5,0.0,1,False,1
MEDIATING EFFECT,1.0,0.5,0.0,1,False,1
DIGITAL ENTREPRENEURIAL,1.0,0.5,0.0,1,False,1
DIGITAL NEW VENTURES,1.0,0.5,0.0,1,False,1
RESEARCH TRENDS,1.0,0.5,0.0,1,False,1
STRUCTURAL EQUATION MODELING (SEM),1.0,0.5,0.0,1,False,1
COMPLEMENTARY NEW VENTURE,1.0,0.5,0.0,1,False,1
STAKEHOLDER THEORY (ST),1.0,0.5,0.0,1,False,1
SOCIAL SUSTAINABILITY PERFORMANCE (SSP),1.0,0.5,0.0,1,False,1
REAL OPTIONS THEORY,1.0,0.5,0.0,1,False,1
PRODUCTION,1.0,0.5,0.0,1,False,1
DIGITAL ENTREPRENEURIAL EDUCATION,1.0,0.5,0.0,1,False,1
SUPPLY RESILIENCE,1.0,0.5,0.0,1,False,1
MEN,1.0,0.5,0.0,1,False,1
SMART MANUFACTURING,1.0,0.5,0.0,1,False,1
CRYPTO ASSETS ENTREPRENEURSHIP,1.0,0.5,0.0,1,False,1
DIGITAL EVOLUTION,1.0,0.5,0.0,1,False,1
INSTITUTIONAL APPROACH,1.0,0.5,0.0,1,False,1
STARTUP FINANCING,1.0,0.5,0.0,1,False,1
BRAND EXPERIENCES,1.0,0.5,0.0,1,False,1
"COMMERCIALIZATION TOOLS,INDUSTRY COLLABORATION",1.0,0.5,0.0,1,False,1
TECHNICAL AND TECHNOLOGICAL CHANGES,1.0,0.5,0.0,1,False,1
DEMOCRATIZATION,1.0,0.5,0.0,1,False,1
RESEARCH COMMERCIALIZATION,1.0,0.5,0.0,1,False,1
EMOTIONS,1.0,0.5,0.0,1,False,1
TECHNOLOGY ORGANISATION ENVIRONMENT FRAMEWORK,1.0,0.5,0.0,1,False,1
CONSUMERS' PERCEPTION,1.0,0.5,0.0,1,False,1
BRAND-CONSUMER INTERACTIONS,1.0,0.5,0.0,1,False,1
TECHNOLOGY READINESS INDEX,1.0,0.5,0.0,1,False,1
INDUSTRY 5.0,1.0,0.5,0.0,1,False,1
MIGRANT MOTHERHOOD IN CHILE,1.0,0.5,0.0,1,False,1
ARTREPRENEURSHIP,1.0,0.5,0.0,1,False,1
MULTI-CHANNEL NETWORKS,1.0,0.5,0.0,1,False,1
ENTREPRENEURIAL SUCCESS PERCEPTIONS,1.0,0.5,0.0,1,False,1
STATE LABOR,1.0,0.5,0.0,1,False,1
DIGITAL LABOR,1.0,0.5,0.0,1,False,1
DIGITAL BEHAVIOR,1.0,0.5,0.0,1,False,1
PERCEIVED UNCERTAINTY,1.0,0.5,0.0,1,False,1
DIGITAL CREATIVE INDUSTRIES,1.0,0.5,0.0,1,False,1
GENDER INEQUALITIES,1.0,0.5,0.0,1,False,1
WORK-FAMILY BALANCE,1.0,0.5,0.0,1,False,1
Q01,1.0,0.5,0.0,1,False,1
BRAND AVATARS,1.0,0.5,0.0,1,False,1
LOYALTY,1.0,0.5,0.0,1,False,1
INNOVATION MANAGEMENT,1.0,0.5,0.0,1,False,1
BUSINESS-MODEL INNOVATION,1.0,0.5,0.0,1,False,1
MIGRANT FEMALE DIGITAL ENTREPRENEURSHIP,1.0,0.5,0.0,1,False,1
DIGITAL TECHNO- LOGIES,1.0,0.5,0.0,1,False,1
DEVELOPING CONTEXT,1.0,0.5,0.0,1,False,1
ICT PATENTS,1.0,0.5,0.0,1,False,1
DIGITAL ENTREPRENEURIAL ECOSYSTEM THEORY,1.0,0.5,0.0,1,False,1
SCIENTIFIC MAPPING,1.0,0.5,0.0,1,False,1
LOGNORMAL PERFORMANCE DISTRIBUTIONS,1.0,0.5,0.0,1,False,1
COMPLEXITY SCIENCE,1.0,0.5,0.0,1,False,1
ENTREPRENEURSHIP SUSTAINABILITY,1.0,0.5,0.0,1,False,1
THEMATIC PROGRESSION,1.0,0.5,0.0,1,False,1
SMALL AND MEDIUM SIZED ENTERPRISES (SMES),1.0,0.5,0.0,1,False,1
FTTX,1.0,0.5,0.0,1,False,1
ORGANISATIONAL LEADERSHIP,1.0,0.5,0.0,1,False,1
INTERNET CHARACTERISTICS,1.0,0.5,0.0,1,False,1
BUSINESS DIGITALISATION,1.0,0.5,0.0,1,False,1
IT KNOWLEDGE,1.0,0.5,0.0,1,False,1
FIXED INTERNET TECHNOLOGIES,1.0,0.5,0.0,1,False,1
ENTREPRENEURIAL DECISION-MAKING,1.0,0.5,0.0,1,False,1
XDSL,1.0,0.5,0.0,1,False,1
STAR ENTREPRENEURS,1.0,0.5,0.0,1,False,1
BIBLIOMETRIC LITERATURE REVIEW,1.0,0.5,0.0,1,False,1
ECO-EFFICIENCY,1.0,0.5,0.0,1,False,1
ENTREPRENEURIAL INTERNATIONALIZATION,1.0,0.5,0.0,1,False,1
SOFTWARE-AS-A-SERVICE (SAAS),1.0,0.5,0.0,1,False,1
ACCESS,1.0,0.5,0.0,1,False,1
BONDING AND BRIDGING SOCIAL CAPITAL,1.0,0.5,0.0,1,False,1
BIBLIOGRAPHIC ANALYSIS,1.0,0.5,0.0,1,False,1
DEMAND HETEROGENEITY,1.0,0.5,0.0,1,False,1
CASE,1.0,0.5,0.0,1,False,1
KURTOSIS,1.0,0.5,0.0,1,False,1
POWER,1.0,0.5,0.0,1,False,1
FEMALE ENTREPRENEUR,1.0,0.5,0.0,1,False,1
ENTREPRENEURIAL PROGRAM LEARNING,1.0,0.5,0.0,1,False,1
INTEGRATIVE CAPABILITIES,1.0,0.5,0.0,1,False,1
PROPORTIONAL DIFFERENTIATION,1.0,0.5,0.0,1,False,1
STUDY,1.0,0.5,0.0,1,False,1
GENDER-GAP,1.0,0.5,0.0,1,False,1
SME ONLINE MARKETING,1.0,0.5,0.0,1,False,1
SELF-BRANDING,1.0,0.5,0.0,1,False,1
STARTUP PERFORMANCE,1.0,0.5,0.0,1,False,1
REALITY,1.0,0.5,0.0,1,False,1
TIES,1.0,0.5,0.0,1,False,1
CRITICAL PEDAGOGY,1.0,0.5,0.0,1,False,1
PERFORMANCE EXPECTANCY OF AI SOLUTIONS,1.0,0.5,0.0,1,False,1
CONTENT KNOWLEDGE,1.0,0.5,0.0,1,False,1
TEACHER-PRENEUR,1.0,0.5,0.0,1,False,1
TEACHER TRAINING,1.0,0.5,0.0,1,False,1
PERCEIVED CREATIVITY,1.0,0.5,0.0,1,False,1
OPPORTUNITY ITERATION,1.0,0.5,0.0,1,False,1
IT AFFORDANCES,1.0,0.5,0.0,1,False,1
PLATFORM LEADERSHIP,1.0,0.5,0.0,1,False,1
DIGITAL ENTREPRENEURIAL INFLUENCERS,1.0,0.5,0.0,1,False,1
DIGITAL TECHNOLOGY SELF-EFFICACY,1.0,0.5,0.0,1,False,1
RELATIONAL EMBEDDEDNESS,1.0,0.5,0.0,1,False,1
CAPITAL PRODUCTIVITY,1.0,0.5,0.0,1,False,1
DIGITAL HEALTH,1.0,0.5,0.0,1,False,1
DIAJARDEUI,1.0,0.5,0.0,1,False,1
KNOWLEDGE INTENSITY,1.0,0.5,0.0,1,False,1
HEALTH-TECH,1.0,0.5,0.0,1,False,1
INTENSITY,1.0,0.5,0.0,1,False,1
BOUNDARY,1.0,0.5,0.0,1,False,1
GOALS,1.0,0.5,0.0,1,False,1
KNOWLEDGE STRATEGY,1.0,0.5,0.0,1,False,1
VIRTUAL-REALITY,1.0,0.5,0.0,1,False,1
VIRTUAL WORLD,1.0,0.5,0.0,1,False,1
VALUE DRIVERS,1.0,0.5,0.0,1,False,1
HIGH GROWTH,1.0,0.5,0.0,1,False,1
MIDDLE MANAGERS,1.0,0.5,0.0,1,False,1
SIZE,1.0,0.5,0.0,1,False,1
CROSS-LEVEL INTERACTION MECHANISM,1.0,0.5,0.0,1,False,1
FSQCA ANALYSIS,1.0,0.5,0.0,1,False,1
SOLO SELF-EMPLOYMENT,1.0,0.5,0.0,1,False,1
MONETISATION STRATEGIES,1.0,0.5,0.0,1,False,1
NASCENT,1.0,0.5,0.0,1,False,1
PATH CONVERGENCE,1.0,0.5,0.0,1,False,1
MARKETING SELF-EFFICACY,1.0,0.5,0.0,1,False,1
PERSONAL BRAND EQUITY,1.0,0.5,0.0,1,False,1
PERSONAL BRANDING,1.0,0.5,0.0,1,False,1
GEN-Z,1.0,0.5,0.0,1,False,1
DATA SATURATION,1.0,0.5,0.0,1,False,1
CROWDSOURCING AND CROWDFUNDING,1.0,0.5,0.0,1,False,1
LABOR MARKET,1.0,0.5,0.0,1,False,1
BROADBAND CONNECTIVITY,1.0,0.5,0.0,1,False,1
CYBERSECURITY INFRASTRUCTURE,1.0,0.5,0.0,1,False,1
TECHNOLOGICAL DEVELOPMENT,1.0,0.5,0.0,1,False,1
E-EMPOWERMENT,1.0,0.5,0.0,1,False,1
E -LEARNING,1.0,0.5,0.0,1,False,1
CULTURAL INTELLIGENCE,1.0,0.5,0.0,1,False,1
BUSINESS PROCESS,1.0,0.5,0.0,1,False,1
CUSTOMER RESPONSIVENESS,1.0,0.5,0.0,1,False,1
ENTREPRENEURIAL COACHING,1.0,0.5,0.0,1,False,1
SCALE,1.0,0.5,0.0,1,False,1
MICRO-ENTERPRISES,1.0,0.5,0.0,1,False,1
DEVELOPING ECONOMIES,1.0,0.5,0.0,1,False,1
POLICY DESIGN,1.0,0.5,0.0,1,False,1
NONLINEAR DYNAMICS,1.0,0.5,0.0,1,False,1
INCOME INEQUALITY,1.0,0.5,0.0,1,False,1
TURKIYE,1.0,0.5,0.0,1,False,1
POVERTY ALLEVIATION,1.0,0.5,0.0,1,False,1
WAQF UNIVERSITY,1.0,0.5,0.0,1,False,1
DOUYIN,1.0,0.5,0.0,1,False,1
MATURITY MODELS,1.0,0.5,0.0,1,False,1
ROUTINE CAPABILITY,1.0,0.5,0.0,1,False,1
CRISIS MANAGEMENT,1.0,0.5,0.0,1,False,1
ORIGIN,1.0,0.5,0.0,1,False,1
FAMILY BUSINESS EXPOSURE,1.0,0.5,0.0,1,False,1
E -ENTREPRENEURIAL SELF-EFFICACY,1.0,0.5,0.0,1,False,1
E -ENTREPRENEURIAL INTENTION,1.0,0.5,0.0,1,False,1
REGRESSION,1.0,0.5,0.0,1,False,1
UNIVERSITY ENTREPRENEURIAL ENVIRONMENT,1.0,0.5,0.0,1,False,1
E -ENTREPRENEURIAL IDENTITY ASPIRATION,1.0,0.5,0.0,1,False,1
RESPOND,1.0,0.5,0.0,1,False,1
PROCESS RESEARCH,1.0,0.5,0.0,1,False,1
CRISIS-DRIVEN ADVERSITY,1.0,0.5,0.0,1,False,1
ADAPTATION,1.0,0.5,0.0,1,False,1
ALGORITHMS,1.0,0.5,0.0,1,False,1
SPSS,1.0,0.5,0.0,1,False,1
LEGACY IT SYSTEMS,1.0,0.5,0.0,1,False,1
AUTOMATION,1.0,0.5,0.0,1,False,1
INCUMBENTS,1.0,0.5,0.0,1,False,1
DIGITAL CAPABILITIES OPPORTUNITIES,1.0,0.5,0.0,1,False,1
UK SOUTHEAST,1.0,0.5,0.0,1,False,1
BUSINESS MODEL CANVAS,1.0,0.5,0.0,1,False,1
INNOVATION CAPACITY,1.0,0.5,0.0,1,False,1
INDUSTRY 4.0 ENABLERS,1.0,0.5,0.0,1,False,1
SMES ENVIRONMENTAL PERFORMANCE,1.0,0.5,0.0,1,False,1
CUSTOMER SERVICE,1.0,0.5,0.0,1,False,1
DIFFERENCE IN DIFFERENCES,1.0,0.5,0.0,1,False,1
ISLAMIC MICRO-ENTREPRENEURSHIP,1.0,0.5,0.0,1,False,1
L31,1.0,0.5,0.0,1,False,1
G21,1.0,0.5,0.0,1,False,1
WORK-LIFE BALANCE,1.0,0.5,0.0,1,False,1
SCHOLARLY ARTICLES,1.0,0.5,0.0,1,False,1
O38,1.0,0.5,0.0,1,False,1
START-UP ECOSYSTEM,1.0,0.5,0.0,1,False,1
PRODUCT INNOVATION PERFORMANCE,1.0,0.5,0.0,1,False,1
TOP MANAGEMENT TEAM SOCIAL MEDIA USE,1.0,0.5,0.0,1,False,1
KNOWLEDGE-BASED VIEW,1.0,0.5,0.0,1,False,1
OPENNESS TO EXTERNAL KNOWLEDGE,1.0,0.5,0.0,1,False,1
ORGANISATIONAL ENTERPRISE SYSTEMS USE,1.0,0.5,0.0,1,False,1
ENTERPRISE SYSTEMS,1.0,0.5,0.0,1,False,1
ORGANISATIONAL SOCIAL MEDIA USE,1.0,0.5,0.0,1,False,1
SEM MODEL,1.0,0.5,0.0,1,False,1
DIGITALIZATION INTENTION,1.0,0.5,0.0,1,False,1
STUDENT ENTREPRENEURSHIP,1.0,0.5,0.0,1,False,1
PRODUCT-MARKET,1.0,0.5,0.0,1,False,1
SMALL FIRM/NEW VENTURE STRATEGY,1.0,0.5,0.0,1,False,1
KNOWLEDGE FLOWS,1.0,0.5,0.0,1,False,1
DEPENDENCE,1.0,0.5,0.0,1,False,1
RESOURCE DYNAMICS,1.0,0.5,0.0,1,False,1
INTERNET ENTREPRENEURIAL SELF-EFFICACY,1.0,0.5,0.0,1,False,1
SYSTEM QUALITY,1.0,0.5,0.0,1,False,1
SOCIAL MEDIA MARKETING ACTIVITIES,1.0,0.5,0.0,1,False,1
INFORMATION QUALITY,1.0,0.5,0.0,1,False,1
